Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Count,Flow_Duration,Payload_Entropy,Packet_Type,Traffic_Type,Malware_Indicators,Anomaly_Scores,Attack_Type,Device_Information,Network_Segment,Geo_location_Data,Proxy_Information,Log_Source,pca_anomaly_score,pca_anomaly_flag
2025-03-23 09:03:53.413851,212.46.162.216,10.76.42.87,36799,443,UDP,508,32,0.2192835373835077,0.0,Normal,Normal,,29,,Server,IoT Network,"DE, Powellstad, AS3320",Cloud Proxy,IPS,0.004974778608583169,0
2025-04-06 06:20:39.443601,216.235.229.180,10.193.159.254,7463,22,RDP,1049,365,1.020459893989938,0.0,Threat,Data Exfiltration,Emotet,85,T1190,Firewall,IoT Network,"KP, Pyongyang, AS131279",TOR Exit Node,Proxy Server,0.003460007486842975,0
2025-03-26 14:13:55.125920,10.19.163.85,10.191.102.227,57609,443,ICMP,826,25,0.4360072880176338,0.0,Normal,Normal,,2,,Firewall,Guest WiFi,"US, Lake Jeffrey, AS15169",No Proxy,IPS,0.021951460307860764,0
2025-03-30 16:48:42.069859,156.196.234.13,10.126.108.200,7151,80,FTP,183,13,0.1324982522233223,3.03540850202332,Normal,Normal,,30,,Server,DMZ,"KP, Pyongyang, AS131279",TOR Exit Node,Proxy Server,0.02023076366060694,0
2025-03-20 12:28:53.645572,197.3.175.100,10.200.135.187,58603,53,ICMP,466,37,5.4402724391621815,0.0,Normal,Normal,,27,,Server,IoT Network,"US, Rickystad, AS15169",No Proxy,SIEM,0.005935783985522435,0
2025-04-06 08:28:40.336517,10.152.88.40,10.128.67.225,22893,80,FTP,343,30,8.474593974575596,0.0,Normal,Normal,,30,,Server,Internal Network,"IR, North Davidside, AS58224",No Proxy,Firewall,0.0196357777456434,0
2025-03-22 01:24:09.840634,136.69.143.216,10.96.77.48,32684,53,DNS,593,8,5.359386518354705,0.0,Normal,Normal,,13,,IDS,Guest WiFi,"US, New Christophermouth, AS15169",Cloud Proxy,SIEM,0.00023887302008875072,0
2025-03-18 12:32:47.975792,56.182.228.172,10.117.150.16,24960,80,HTTP,67,5,9.225167975722528,2.834451303526034,Normal,Normal,,23,,Server,IoT Network,"US, Patriciafort, AS15169",No Proxy,SIEM,0.015531659953583112,0
2025-03-23 05:20:54.846953,10.228.192.115,10.33.0.186,27382,443,TCP,1000,48,0.7834887274698893,0.0,Normal,Normal,,7,,Router,Guest WiFi,"DE, West Michael, AS3320",Cloud Proxy,IDS,0.022221669581904094,0
2025-03-23 04:14:00.015666,66.73.254.62,10.80.55.186,63701,53,DNS,1073,49,2.709936127849788,0.0,Normal,Normal,,19,,IPS,Guest WiFi,"IN, Carlstad, AS4755",TOR Exit Node,SIEM,0.00032937021732769826,0
2025-04-14 19:20:46.010401,10.211.119.206,10.89.11.15,30435,53,FTP,707,6,2.9683957322145407,0.0,Normal,Normal,,7,,Firewall,DMZ,"IN, Theresamouth, AS4755",No Proxy,Proxy Server,0.002147480273952446,0
2025-03-19 03:12:12.096658,180.113.54.91,10.147.105.158,11843,53,DNS,144,13,9.66793062565727,0.0,Normal,Normal,,21,,IDS,Internal Network,"DE, Lake Amymouth, AS3320",TOR Exit Node,IPS,0.008836028528814982,0
2025-03-25 08:12:47.478727,10.143.245.167,10.101.246.19,15913,80,FTP,1409,22,5.965595310578885,0.0,Normal,Normal,,0,,Firewall,Guest WiFi,"IN, Patrickmouth, AS4755",TOR Exit Node,IPS,0.016344621278257324,0
2025-04-06 19:13:22.340173,89.131.170.59,10.232.133.160,46103,53,SMTP,461,42,1.4529843392241932,0.0,Normal,Normal,,20,,Workstation,DMZ,"CN, Oliverfort, AS4134",Cloud Proxy,IDS,6.957246057788531e-05,0
2025-04-08 17:48:24.027306,10.120.124.78,10.196.178.248,23832,80,DNS,569,460,0.8336005941247555,0.0,Malware,Data Exfiltration,,71,T1046,IPS,IoT Network,"KP, Pyongyang, AS131279",TOR Exit Node,SIEM,0.12620798209642514,0
2025-04-08 00:50:09.822197,10.123.134.193,10.33.171.51,37259,80,SMTP,559,162,1.2962903871736655,3.2258265271848887,Threat,Scanning,Mirai,91,T1071,Workstation,IoT Network,"DE, Migueltown, AS3320",Cloud Proxy,IPS,0.16377733280690257,1
2025-03-20 23:36:39.413686,10.166.232.24,10.240.106.185,36399,443,TCP,461,28,2.3182442095080447,0.0,Normal,Normal,,0,,IPS,IoT Network,"DE, Zunigaborough, AS3320",Proxy Detected,IPS,0.03074106897126755,0
2025-04-09 16:43:57.735587,25.126.224.78,10.4.90.14,40304,443,HTTPS,440,29,0.6931783049133491,0.0,Normal,Normal,,6,,Router,Guest WiFi,"US, West Larry, AS15169",Cloud Proxy,IPS,0.01273698967129195,0
2025-03-19 05:06:55.013969,10.43.50.58,10.184.44.18,59430,443,SSH,323,50,7.195207392308802,0.0,Normal,Normal,,4,,Firewall,Corporate LAN,"IN, Markmouth, AS4755",Cloud Proxy,IDS,0.0222350495688936,0
2025-04-03 20:21:11.496104,94.254.81.23,10.141.167.41,33836,53,FTP,658,155,1.3244225443689452,0.0,Threat,Scanning,TrickBot,84,T1046,IDS,Corporate LAN,"CN, Christopherburgh, AS4134",TOR Exit Node,Proxy Server,0.13586977405802356,1
2025-04-11 02:52:04.888907,80.35.100.119,10.205.1.157,16968,3389,SSH,177,479,1.832702639125064,0.0,Scan,DDoS,Keylogger,76,T1110,Workstation,Guest WiFi,"KP, Pyongyang, AS131279",Proxy Detected,Firewall,0.12324490326336128,0
2025-04-09 16:26:48.045204,62.152.233.220,10.34.17.222,53359,3389,HTTPS,202,444,0.0638412407716676,3.555783629896564,Threat,Exploit,,91,T1210,IPS,Internal Network,"CN, Ericabury, AS4134",TOR Exit Node,Proxy Server,0.021226634822635076,0
2025-03-26 03:30:00.077211,215.237.130.51,10.226.210.208,6221,3389,HTTP,1437,162,0.7463777976104264,3.3300445003405046,Scan,Phishing,Zero-Day,97,T1071,IPS,DMZ,"US, Lake Jaimetown, AS15169",TOR Exit Node,IDS,0.21844635768201895,1
2025-03-23 06:13:32.623000,177.65.252.125,10.176.91.236,41069,53,UDP,766,37,7.679994978503972,0.0,Normal,Normal,,19,,IDS,IoT Network,"DE, New Kristinland, AS3320",TOR Exit Node,Proxy Server,3.7264401655339314e-07,0
2025-04-09 08:10:10.365800,146.235.144.85,10.228.16.37,14450,443,HTTPS,766,43,8.921808378091981,0.0,Normal,Normal,,27,,Workstation,DMZ,"IR, Smithborough, AS58224",Proxy Detected,SIEM,0.008811363780817934,0
2025-03-23 04:29:45.897341,174.63.221.227,10.155.26.111,17697,80,DNS,1389,6,4.829823396149357,0.0,Normal,Normal,,3,,Firewall,DMZ,"RU, New Karen, AS12389",Proxy Detected,IDS,0.004966315536185585,0
2025-04-02 21:49:37.101859,193.108.64.113,10.107.70.246,34275,443,ICMP,180,5,5.315372744690987,0.0,Normal,Normal,,0,,IPS,IoT Network,"IR, Tammyberg, AS58224",Cloud Proxy,Proxy Server,0.012091815366555455,0
